Timestamp,Initials,Subject,CFUs,Ecoli
11/5/2025 12:59:19,AA,Hand,115,No
11/5/2025 12:59:40,AA,Phone,10,No
11/5/2025 12:59:54,AA,Laptop,28,No
11/5/2025 12:59:54,A.D.,Hand,50,No
11/5/2025 13:00:02,JM,Laptop,23,No
11/5/2025 13:00:11,KW,Hand,11,No
11/5/2025 13:00:38,RL,Hand,210,No
11/5/2025 13:00:43,RJ (used AC),Phone,173,No
11/5/2025 13:00:45,A.D.,Phone,20,No
11/5/2025 13:00:50,JM,Phone,42,No
11/5/2025 13:00:51,M.B ,Hand,121,No
11/5/2025 13:01:00,RL,Phone,20,No
11/5/2025 13:01:03,KW,Phone,35,No
11/5/2025 13:01:31,RL,Laptop,9,No
11/5/2025 13:01:40,A.D,Laptop,1,No
11/5/2025 13:01:48,JM,Hand,21,No
11/5/2025 13:01:53,J.A.,Hand,115,No
11/5/2025 13:01:58,RJ (Used AC),Laptop,44,No
11/5/2025 13:02:09,M.B,Phone,82,No
11/5/2025 13:02:51,M.B,Laptop,42,No
11/5/2025 13:02:53,KW,Laptop,16,No
11/5/2025 13:02:55,RJ (Used AC),Phone,95,No
11/5/2025 13:03:19,J.A.,Phone,84,Yes
11/5/2025 13:04:43,J.A.,Laptop,90,No
11/6/2025 12:23:00,PB,Hand,3,No
11/6/2025 12:24:00,GS,Hand,89,No
11/6/2025 12:24:04,TB,Laptop,2,No
11/6/2025 12:24:06,YC,Hand,4,No
11/6/2025 12:24:11,NK,Hand,4,No
11/6/2025 12:24:38,TB,Hand,20,No
11/6/2025 12:24:44,VS,Hand,25,No
11/6/2025 12:24:45,GS,Phone,37,No
11/6/2025 12:24:48,YC,Phone,3,No
11/6/2025 12:24:49,AT,Laptop,9,No
11/6/2025 12:24:51,NK,Laptop,1,No
11/6/2025 12:24:58,PB,Phone,31,No
11/6/2025 12:25:04,CT,Hand,17,No
11/6/2025 12:25:05,VS,Phone,12,No
11/6/2025 12:25:12,KC,Hand,34,No
11/6/2025 12:25:24,YC,Laptop,13,No
11/6/2025 12:25:24,GS,Laptop,13,No
11/6/2025 12:25:25,VS,Laptop,4,No
11/6/2025 12:25:26,BTM,Hand,56,No
11/6/2025 12:25:30,SC,Hand,120,No
11/6/2025 12:25:30,JD,Hand,350,No
11/6/2025 12:25:44,KC,Laptop,3,No
11/6/2025 12:25:45,AM,Phone,27,No
11/6/2025 12:25:48,AT,Hand,16,No
11/6/2025 12:25:53,NK,Phone,8,No
11/6/2025 12:25:59,SC,Phone,5,No
11/6/2025 12:26:00,TB,Phone,1,No
11/6/2025 12:26:06,JD,Phone,22,No
11/6/2025 12:26:08,BTM,Phone,21,No
11/6/2025 12:26:22,KC,Phone,6,No
11/6/2025 12:26:22,SC,Laptop,5,No
11/6/2025 12:26:31,JD,Laptop,6,No
11/6/2025 12:27:17,AM,Hand,26,No
11/6/2025 12:27:46,CT,Phone,49,No
11/6/2025 12:27:56,AM,Laptop,1,No
11/6/2025 12:28:32,S P,Hand,21,No
11/6/2025 12:28:40,AM,Hand,6,No
11/6/2025 12:28:57,CT,Laptop,48,No
11/6/2025 12:29:05,AM,Phone,6,No
11/6/2025 12:29:06,KL,Hand,253,No
11/6/2025 12:29:13,BTM,Laptop,93,No
11/6/2025 12:29:14,AT,Phone,17,No
11/6/2025 12:29:35,KL,Phone,1,No
11/6/2025 12:29:44,DS,Laptop,1,Yes
11/6/2025 12:29:48,KL,Laptop,1,No
11/6/2025 12:30:11,SC,Hand,1,No
11/6/2025 12:30:26,S P,Phone,1,No
11/6/2025 12:30:51,SC,Phone,6,No
11/6/2025 12:31:26,S P,Laptop,10,No
11/6/2025 12:31:37,PB,Laptop,1,No
11/6/2025 12:31:54,SC,Laptop,9,No
11/6/2025 12:32:40,SA,Phone,5,No
11/6/2025 12:32:41,DS,Hand,246,No
11/6/2025 12:32:54,DS,Phone,1,Yes
11/6/2025 12:35:48,AM,Phone,5,No
11/6/2025 12:42:08,SA,Hand,473,Yes
11/6/2025 12:43:14,SA,Laptop,1,Yes
11/6/2025 12:43:48,LA,Laptop,1,No
11/6/2025 12:44:16,LA,Phone,1,No
11/6/2025 12:44:54,LA,Hand,16,No
11/13/2025 9:55:21,N.F,Hand,3,No
11/13/2025 9:55:40,CR,Hand,2,No
11/13/2025 9:55:50,N.F,Phone,1,No
11/13/2025 9:55:57,AC,Phone,4,No
11/13/2025 9:56:26,PT,Hand,72,No
11/13/2025 9:56:27,MB,Hand,231,No
11/13/2025 9:56:29,AC,Hand,4,No
11/13/2025 9:56:56,PT,Phone,1,No
11/13/2025 9:56:59,AC,Laptop,1,No
11/13/2025 9:57:01,AP,Phone,44,No
11/13/2025 9:57:08,CR,Phone,1,No
11/13/2025 9:57:22,PT,Laptop,1,No
11/13/2025 9:57:25,GXC,Phone,4,No
11/13/2025 9:57:31,MB,Phone,73,No
11/13/2025 9:57:32,CR,Laptop,1,No
11/13/2025 9:57:42,AP,Hand,86,No
11/13/2025 9:57:53,MB,Laptop,34,No
11/13/2025 9:58:00,N.F,Laptop,1,No
11/13/2025 9:58:16,AP,Laptop,50,No
11/13/2025 9:59:12,C.D,Phone,1,No
11/13/2025 9:59:45,GXC,Laptop,3,No
11/13/2025 10:02:33,GXC,Hand,52,No